Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
JPM^H,J P Morgan Chase & Co,25.73,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm^h
JPM^J,J P Morgan Chase & Co,25.45,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/jpm^j
JPS,Nuveen Preferred & Income Securities Fund,10.02,$2.04B,2002,n/a,n/a,https://old.nasdaq.com/symbol/jps
JPT,Nuveen Preferred and Income 2022 Term Fund,25.025,$170.99M,2017,n/a,n/a,https://old.nasdaq.com/symbol/jpt
JQC,Nuveen Credit Strategies Income Fund,7.53,$1.02B,2003,n/a,n/a,https://old.nasdaq.com/symbol/jqc
JRI,Nuveen Real Asset Income and Growth Fund,17.98,$493.9M,2012,n/a,n/a,https://old.nasdaq.com/symbol/jri
JRO,Nuveen Floating Rate Income Opportuntiy Fund,9.65,$391.22M,2004,n/a,n/a,https://old.nasdaq.com/symbol/jro
JRS,Nuveen Real Estate Fund,10.31,$297.88M,2001,n/a,n/a,https://old.nasdaq.com/symbol/jrs
JSD,Nuveen Short Duration Credit Opportunities Fund,14.78,$149.21M,2011,n/a,n/a,https://old.nasdaq.com/symbol/jsd
JT,Jianpu Technology Inc.,1.66,$280.53M,2017,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/jt
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,11.86,$164.27M,2004,n/a,n/a,https://old.nasdaq.com/symbol/jta
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,17.34,$251.16M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jtd
JW.A,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jw.a
JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/jw.b
JWN,"Nordstrom, Inc.",38.86,$6.03B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/jwn
K,Kellogg Company,66.28,$22.61B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/k
KAI,Kadant Inc,104.95,$1.18B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kai
KAMN,Kaman Corporation,67.12,$1.87B,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/kamn
KAR,"KAR Auction Services, Inc",21.61,$2.78B,2009,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/kar
KB,KB Financial Group Inc,41.86,$16.31B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/kb
KBH,KB Home,34.79,$3.08B,1986,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/kbh
KBR,"KBR, Inc.",30.63,$4.34B,2006,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/kbr
KDMN,"Kadmon Holdings, Inc.",4.85,$629M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kdmn
KDP,Keurig Dr Pepper Inc.,28.9,$40.66B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/kdp
KEM,Kemet Corporation,26.6,$1.55B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/kem
KEN,Kenon Holdings Ltd.,20.7057,$1.11B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ken
KEP,Korea Electric Power Corporation,11.77,$15.11B,1994,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/kep
KEX,Kirby Corporation,82.81,$4.96B,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/kex
KEY,KeyCorp,20.11,$19.81B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/key
KEY^I,KeyCorp,28.53,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/key^i
KEY^J,KeyCorp,26.48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/key^j
KEY^K,KeyCorp,26.49,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/key^k
KEYS,Keysight Technologies Inc.,105.17,$19.72B,2014,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/keys
KF,"Korea Fund, Inc. (The)",28.95,$147.48M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kf
KFS,"Kingsway Financial Services, Inc.",1.75,$39.17M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/kfs
KFY,Korn Ferry ,41.85,$2.31B,1999,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/kfy
KGC,Kinross Gold Corporation,4.28,$5.36B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/kgc
KIM,Kimco Realty Corporation,20.4,$8.61B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/kim
KIM^J.CL,Kimco Realty Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kim^j.cl
KIM^L,Kimco Realty Corporation,25.67,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kim^l
KIM^M,Kimco Realty Corporation,26.03,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kim^m
KIO,KKR Income Opportunities Fund,15.48,$314.87M,2013,n/a,n/a,https://old.nasdaq.com/symbol/kio
KKR,KKR & Co. Inc.,29.51,$25.14B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/kkr
KKR^A,KKR & Co. Inc.,26.544,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kkr^a
KKR^B,KKR & Co. Inc.,26.47,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kkr^b
KL,Kirkland Lake Gold Ltd.,41.92,$8.81B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/kl
KMB,Kimberly-Clark Corporation,135.82,$46.56B,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/kmb
KMF,"Kayne Anderson Midstream Energy Fund, Inc",10.33,$489.18M,2010,n/a,n/a,https://old.nasdaq.com/symbol/kmf
KMI,"Kinder Morgan, Inc.",20.58,$46.61B,2011,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/kmi
KMPR,Kemper Corporation,77.01,$5.13B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/kmpr
KMT,Kennametal Inc.,37.74,$3.13B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kmt
KMX,CarMax Inc,98,$16.11B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/kmx
KN,Knowles Corporation,21.53,$1.97B,2014,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/kn
KNL,"Knoll, Inc.",27.22,$1.33B,2004,Consumer Durables,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/knl
KNOP,KNOT Offshore Partners LP,19.66,$642.77M,2013,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/knop
KNX,"Knight Transportation, Inc.",36.73,$6.27B,2017,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/knx
KO,Coca-Cola Company (The),54.42,$233.16B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ko
KODK,Eastman Kodak Company,3.01,$130.1M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kodk
KOF,Coca Cola Femsa S.A.B. de C.V.,60.35,$12.68B,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/kof
KOP,Koppers Holdings Inc.,36.85,$762.73M,2006,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/kop
KOS,Kosmos Energy Ltd.,5.49,$2.2B,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/kos
KR,Kroger Company (The),28.31,$22.69B,n/a,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/kr
KRA,Kraton Corporation,24.11,$764.38M,2009,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/kra
KRC,Kilroy Realty Corporation,81.84,$8.68B,1997,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/krc
KREF,KKR Real Estate Finance Trust Inc.,20.28,$1.17B,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/kref
KRG,Kite Realty Group Trust,18.14,$1.52B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/krg
KRO,Kronos Worldwide Inc,13.51,$1.56B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/kro
KRP,Kimbell Royalty Partners,16.8,$788.06M,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/krp
KSM,Scudder Strategic Municiple Income Trust,11.99,$134.34M,1989,n/a,n/a,https://old.nasdaq.com/symbol/ksm
KSS,Kohl&#39;s Corporation,49.79,$7.8B,1992,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/kss
KSU,Kansas City Southern,152.99,$15.16B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/ksu
KSU^,Kansas City Southern,27.7385,n/a,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/ksu^
KT,KT Corporation,11.44,$5.61B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/kt
KTB,"Kontoor Brands, Inc.",38.71,$2.2B,2019,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/ktb
KTF,Scudder Municiple Income Trust,11.38,$449.52M,1988,n/a,n/a,https://old.nasdaq.com/symbol/ktf
KTH,Lehman ABS Corporation,32.46,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/kth
KTN,Lehman ABS Corporation,32.2523,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/ktn
KTP,Lehman ABS Corporation,6.4,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/ktp
KW,Kennedy-Wilson Holdings Inc.,22.44,$3.2B,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/kw
KWR,Quaker Chemical Corporation,159.19,$2.82B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/kwr
KYN,Kayne Anderson MLP/Midstream Investment Company,14.05,$1.78B,2004,n/a,n/a,https://old.nasdaq.com/symbol/kyn
KYN^F,Kayne Anderson MLP/Midstream Investment Company,25.09,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kyn^f
L,Loews Corporation,51.07,$15.19B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/l
LAC,Lithium Americas Corp.,3.13,$279.38M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lac
LAD,"Lithia Motors, Inc.",154.16,$3.58B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lad
LADR,Ladder Capital Corp,17.2,$2.06B,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ladr
LAIX,LAIX Inc.,3.25,$155.84M,2018,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/laix
LAZ,Lazard Ltd.,39.08,$4.1B,2005,Finance,Investment Managers,https://old.nasdaq.com/symbol/laz
LB,"L Brands, Inc.",17.88,$4.94B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/lb
LBRT,Liberty Oilfield Services Inc.,10.94,$1.23B,2018,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/lbrt
LC,LendingClub Corporation,13.05,$1.15B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/lc
LCI,Lannett Co Inc,9.16,$369.4M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lci
LCII,LCI Industries ,102.86,$2.57B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/lcii
LDL,"Lydall, Inc.",20.1,$352.21M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/ldl
LDOS,"Leidos Holdings, Inc.",91.64,$12.97B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/ldos
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",26.61,$767.56M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ldp
LEA,Lear Corporation,139.02,$8.41B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/lea
LEAF,Leaf Group Ltd.,3.77,$98.76M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/leaf
LEE,"Lee Enterprises, Incorporated",1.57,$90.78M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/lee
LEG,"Leggett & Platt, Incorporated",51.18,$6.74B,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/leg
LEJU,Leju Holdings Limited,1.83,$248.46M,2014,Finance,Real Estate,https://old.nasdaq.com/symbol/leju
LEN,Lennar Corporation,58.11,$18.46B,n/a,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/len
LEN.B,Lennar Corporation,n/a,n/a,n/a,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/len.b
LEO,"BNY Mellon Strategic Municipals, Inc.",8.49,$528.04M,1987,n/a,n/a,https://old.nasdaq.com/symbol/leo
LEVI,Levi Strauss & Co,18.78,$7.38B,2019,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/levi
LFC,China Life Insurance Company Limited,13.67,$77.28B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/lfc
LGC,Legacy Acquisition Corp.,10.25,$377.25M,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lgc
LGC.U,Legacy Acquisition Corp.,n/a,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/lgc.u
LGC.WS,Legacy Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lgc.ws
LGF.A,Lions Gate Entertainment Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lgf.a
LGF.B,Lions Gate Entertainment Corporation,n/a,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/lgf.b
LGI,Lazard Global Total Return and Income Fund,16.25,$156.09M,2004,n/a,n/a,https://old.nasdaq.com/symbol/lgi
LH,Laboratory Corporation of America Holdings,167.31,$16.25B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/lh
LHC,Leo Holdings Corp.,10.34,$258.5M,2018,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/lhc
LHC.U,Leo Holdings Corp.,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/lhc.u
LHC.WS,Leo Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lhc.ws
LHX,"L3Harris Technologies, Inc.",201.34,$44.51B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lhx
LII,"Lennox International, Inc.",258,$9.94B,1999,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lii
LIN,Linde plc,210.02,$112.82B,2018,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lin
LINX,Linx S.A.,7.66,$1.38B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/linx
LITB,"LightInTheBox Holding Co., Ltd.",0.9044,$60.8M,2013,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/litb
LKSD,"LSC Communications, Inc.",0.4884,$16.37M,2016,Miscellaneous,Publishing,https://old.nasdaq.com/symbol/lksd
LL,"Lumber Liquidators Holdings, Inc",10.11,$290.26M,2007,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/ll
LLY,Eli Lilly and Company,122.85,$117.95B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lly
LM,"Legg Mason, Inc.",36.06,$3.13B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/lm
LMHA,"Legg Mason, Inc.",26.39,n/a,2016,Finance,Investment Managers,https://old.nasdaq.com/symbol/lmha
LMHB,"Legg Mason, Inc.",25.53,n/a,2016,Finance,Investment Managers,https://old.nasdaq.com/symbol/lmhb
LMT,Lockheed Martin Corporation,385.95,$108.87B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/lmt
LN,LINE Corporation,47.36,$11.34B,2016,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/ln
LNC,Lincoln National Corporation,60.42,$11.98B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/lnc
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,4.4463,$239.22M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/lnd
LNN,Lindsay Corporation,94.15,$1.02B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lnn
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,6.84,$815.33M,2017,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/loma
LOW,"Lowe&#39;s Companies, Inc.",120.08,$92.04B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/low
LPG,Dorian LPG Ltd.,14.74,$804.75M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/lpg
LPI,"Laredo Petroleum, Inc.",2.82,$668.72M,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/lpi
LPL,"LG Display Co., Ltd.",6.96,$4.98B,2004,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lpl
LPT,Liberty Property Trust,59.5,$9.39B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/lpt
LPX,Louisiana-Pacific Corporation,28.51,$3.35B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/lpx
LRN,K12 Inc,19.79,$810.5M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/lrn
LSI,"Life Storage, Inc.",103.84,$4.84B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/lsi
LTC,"LTC Properties, Inc.",44.1,$1.75B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ltc
LTHM,Livent Corporation,8.31,$1.21B,2018,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lthm
LTM,LATAM Airlines Group S.A.,11.55,$7B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/ltm
LUB,"Luby&#39;s, Inc.",2.15,$64.59M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/lub
LUV,Southwest Airlines Company,54.35,$28.6B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/luv
LVS,Las Vegas Sands Corp.,68.1,$52.3B,2004,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/lvs
LW,"Lamb Weston Holdings, Inc.",83.97,$12.26B,2016,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lw
LXFR,Luxfer Holdings PLC,18.74,$513.69M,2012,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lxfr
LXP,Lexington Realty Trust,10.64,$2.7B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lxp
LXP^C,Lexington Realty Trust,57.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lxp^c
LXU,Lsb Industries Inc.,3.69,$106.21M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lxu
LYB,LyondellBasell Industries NV,93.65,$31.22B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lyb
LYG,Lloyds Banking Group Plc,3.57,$62.51B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/lyg
LYV,"Live Nation Entertainment, Inc.",63.56,$13.58B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/lyv
LZB,La-Z-Boy Incorporated,31.02,$1.44B,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/lzb
M,Macy&#39;s Inc,15.63,$4.83B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/m
MA,Mastercard Incorporated,296.96,$299.59B,2006,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ma
MAA,"Mid-America Apartment Communities, Inc.",130.54,$14.89B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/maa
MAA^I,"Mid-America Apartment Communities, Inc.",65.85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/maa^i
MAC,Macerich Company (The),26.2,$3.7B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mac
MAIN,Main Street Capital Corporation,43.57,$2.76B,2007,n/a,n/a,https://old.nasdaq.com/symbol/main
MAN,ManpowerGroup,96.08,$5.67B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/man
MANU,Manchester United Ltd.,18.55,$3.05B,2012,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/manu
MAS,Masco Corporation,47.1,$13.47B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/mas
MATX,"Matson, Inc.",39.52,$1.69B,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/matx
MAV,Pioneer Municipal High Income Advantage Trust,10.81,$258.35M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mav
MAXR,Maxar Technologies Inc.,13,$774.93M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/maxr
MBI,"MBIA, Inc.",9.27,$742.08M,1987,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mbi
MBT,Mobile TeleSystems OJSC,9.73,$8.71B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/mbt
MC,Moelis & Company,31.58,$1.56B,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/mc
MCA,"Blackrock MuniYield California Insured Fund, Inc.",14.3,$492M,1992,n/a,n/a,https://old.nasdaq.com/symbol/mca
MCB,Metropolitan Bank Holding Corp.,48.17,$400.77M,2017,Finance,Major Banks,https://old.nasdaq.com/symbol/mcb
MCC,Medley Capital Corporation,2.15,$117.12M,2011,n/a,n/a,https://old.nasdaq.com/symbol/mcc
MCD,McDonald&#39;s Corporation,197.88,$149.02B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/mcd
MCI,Barings Corporate Investors,16.726,$337.73M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mci
MCK,McKesson Corporation,142.2,$25.62B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/mck
MCN,Madison Covered Call & Equity Strategy Fund,6.54,$136.99M,2004,n/a,n/a,https://old.nasdaq.com/symbol/mcn
MCO,Moody&#39;s Corporation,236.1,$44.58B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mco
MCR,MFS Charter Income Trust,8.39,$378.49M,1989,n/a,n/a,https://old.nasdaq.com/symbol/mcr
MCS,Marcus Corporation (The),32.55,$1.01B,n/a,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/mcs
MCV,Medley Capital Corporation,24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mcv
MCX,Medley Capital Corporation,24.8,n/a,2015,n/a,n/a,https://old.nasdaq.com/symbol/mcx
MCY,Mercury General Corporation,48.7,$2.7B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mcy
MD,"Mednax, Inc",27.43,$2.31B,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/md
MDC,"M.D.C. Holdings, Inc.",39,$2.44B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mdc
MDLA,"Medallia, Inc.",31.23,$4.01B,2019,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/mdla
MDLQ,Medley LLC,17.1,n/a,2017,Finance,Investment Managers,https://old.nasdaq.com/symbol/mdlq
MDLX,Medley LLC,16.16,n/a,2016,Finance,Investment Managers,https://old.nasdaq.com/symbol/mdlx
MDLY,Medley Management Inc.,2.965,$95.74M,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/mdly
MDP,Meredith Corporation,36.08,$1.63B,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/mdp
MDR,"McDermott International, Inc.",0.7709,$144.33M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/mdr
MDT,Medtronic plc,114.54,$153.53B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/mdt
MDU,"MDU Resources Group, Inc.",29.37,$5.89B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/mdu
MEC,"Mayville Engineering Company, Inc.",8.98,$177.27M,2019,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/mec
MED,MEDIFAST INC,94.36,$1.1B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/med
MEI,"Methode Electronics, Inc.",39.95,$1.48B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/mei
MEN,"Blackrock MuniEnhanced Fund, Inc.",11.16,$331.25M,1989,n/a,n/a,https://old.nasdaq.com/symbol/men
MER^K,"Merrill Lynch & Co., Inc.",26.742,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mer^k
MET,"MetLife, Inc.",50.48,$46.42B,2000,Finance,Life Insurance,https://old.nasdaq.com/symbol/met
MET^A,"MetLife, Inc.",24.565,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/met^a
MET^E,"MetLife, Inc.",26.83,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/met^e
MFA,"MFA Financial, Inc.",7.8,$3.52B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mfa
MFA^B,"MFA Financial, Inc.",25.7512,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mfa^b
MFAC,Megalith Financial Acquisition Corp.,10.25,$216.9M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/mfac
MFAC.U,Megalith Financial Acquisition Corp.,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/mfac.u
MFAC.WS,Megalith Financial Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mfac.ws
MFC,Manulife Financial Corp,19.56,$38.12B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/mfc
MFD,Macquarie First Trust Global,10.27,$87.78M,2004,n/a,n/a,https://old.nasdaq.com/symbol/mfd
MFG,"Mizuho Financial Group, Inc.",3.15,$39.94B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mfg
MFGP,Micro Focus Intl PLC,14.46,$4.82B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mfgp
MFL,Blackrock MuniHoldings Investment Quality Fund,13.26,$502.5M,1997,n/a,n/a,https://old.nasdaq.com/symbol/mfl
MFM,MFS Municipal Income Trust,7.04,$289.96M,1986,n/a,n/a,https://old.nasdaq.com/symbol/mfm
MFO,"MFA Financial, Inc.",26.1394,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mfo
MFT,Blackrock MuniYield Investment QualityFund,13.33,$113.01M,1992,n/a,n/a,https://old.nasdaq.com/symbol/mft
