,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
104,AIZP,"Assurant, Inc.",127.82,$367.48M,,Finance,Property-Casualty Insurers
865,DTE,DTE Energy Company,127.48,$24.49B,,Public Utilities,Electric Utilities: Central
1334,HEI,Heico Corporation,127.06,$17.05B,,Capital Goods,Aerospace
1865,MSA,MSA Safety Incorporporated,126.61,$4.9B,,Health Care,Industrial Specialties
3116,ZTS,Zoetis Inc.,126.46,$60.23B,2013,Health Care,Major Pharmaceuticals
2931,VAC,Marriott Vacations Worldwide Corporation,126.27,$5.31B,,Finance,Real Estate
2379,RCL,Royal Caribbean Cruises Ltd.,126.2,$26.46B,1993,Consumer Services,Marine Transportation
2765,TGT,Target Corporation,125.96,$63.83B,,Consumer Services,Department/Specialty Retail Stores
2216,PG,Procter & Gamble Company (The),125.56,$313.12B,,Basic Industries,Package Goods/Cosmetics
2361,QTS^B,"QTS Realty Trust, Inc.",124.49,,,,
2154,PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",123.78,$6.94B,2006,Transportation,Aerospace
258,AXP,American Express Company,123.68,$101.2B,,Finance,Finance: Consumer Services
532,CE,Celanese Corporation,123.68,$14.95B,2005,Basic Industries,Major Chemicals
1689,LLY,Eli Lilly and Company,122.85,$117.95B,,Health Care,Major Pharmaceuticals
914,EDU,"New Oriental Education & Technology Group, Inc.",122.76,$19.45B,2006,Consumer Services,Other Consumer Services
127,ALLE,Allegion plc,121.66,$11.3B,2013,Consumer Services,Diversified Commercial Services
251,AWK,American Water Works,120.9,$21.86B,2008,Public Utilities,Water Supply
413,BR,"Broadridge Financial Solutions, Inc.",120.88,$13.86B,,Miscellaneous,Business Services
3047,WMT,Walmart Inc.,120.54,$341.99B,,Consumer Services,Department/Specialty Retail Stores
2636,SRE^A,Sempra Energy,120.3,,,Public Utilities,Natural Gas Distribution
1347,HHC,Howard Hughes Corporation (The),120.25,$5.2B,,Consumer Services,Real Estate Investment Trusts
1699,LOW,"Lowe&#39;s Companies, Inc.",120.08,$92.04B,,Consumer Services,RETAIL: Building Materials
1442,IFF,"International Flavors & Fragrances, Inc.",120,$12.81B,,Basic Industries,Major Chemicals
2637,SRE^B,Sempra Energy,119.985,,,,
752,CVX,Chevron Corporation,119.36,$225.69B,,Energy,Integrated oil Companies
1016,ETR,Entergy Corporation,119.12,$23.72B,,Public Utilities,Electric Utilities: Central
2905,UPS,"United Parcel Service, Inc.",119.12,$102.18B,1999,Transportation,Trucking Freight/Courier Services
119,ALG,"Alamo Group, Inc.",119.04,$1.41B,,Capital Goods,Industrial Machinery/Components
2458,RS,Reliance Steel & Aluminum Co.,118.87,$7.92B,1994,Basic Industries,Metal Fabrications
1899,MUSA,Murphy USA Inc.,118.16,$3.8B,2013,Consumer Durables,Automotive Aftermarket
1317,HAE,Haemonetics Corporation,117.98,$5.98B,1991,Health Care,Medical/Dental Instruments
2418,RL,Ralph Lauren Corporation,117.71,$8.78B,1997,Consumer Non-Durables,Apparel
2919,USPH,"U.S. Physical Therapy, Inc.",116.73,$1.49B,1992,Health Care,Medical/Nursing Services
850,DRI,"Darden Restaurants, Inc.",116.02,$14.22B,,Consumer Services,Restaurants
1124,FRC,FIRST REPUBLIC BANK,115.93,$19.54B,,,
2887,UHT,Universal Health Realty Income Trust,115.87,$1.59B,,Consumer Services,Real Estate Investment Trusts
10,ABG,Asbury Automotive Group Inc,115.71,$2.23B,2002,Consumer Durables,Automotive Aftermarket
824,DLR,"Digital Realty Trust, Inc.",115.49,$24.12B,2004,Consumer Services,Real Estate Investment Trusts
1758,MDT,Medtronic plc,114.54,$153.53B,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
229,ATR,"AptarGroup, Inc.",114.32,$7.31B,,Consumer Non-Durables,Plastic Products
2330,PSX,Phillips 66,114.14,$50.72B,,Energy,Integrated oil Companies
1518,JBT,John Bean Technologies Corporation,113.24,$3.59B,,Technology,Industrial Machinery/Components
841,DOV,Dover Corporation,113.13,$16.43B,,Technology,Industrial Machinery/Components
1056,FCN,"FTI Consulting, Inc.",112.61,$4.24B,,Consumer Services,Professional Services
670,COR,CoreSite Realty Corporation,112.25,$4.23B,2010,Consumer Services,Real Estate Investment Trusts
2075,NVRO,Nevro Corp.,112.21,$3.48B,2014,Health Care,Medical/Dental Instruments
3042,WM,"Waste Management, Inc.",112.03,$47.53B,,Public Utilities,Environmental Services
1818,MMC,"Marsh & McLennan Companies, Inc.",111.65,$56.35B,,Finance,Specialty Insurers
353,BH,Biglari Holdings Inc.,111.65,$254.06M,2018,Consumer Services,Restaurants
1312,GWR,"Genesee & Wyoming, Inc.",111.34,$6.35B,,Transportation,Railroads
51,AFG,"American Financial Group, Inc.",110.83,$9.99B,,Finance,Property-Casualty Insurers
2247,PKG,Packaging Corporation of America,110.01,$10.41B,2000,Consumer Durables,Containers/Packaging
1392,HRC,Hill-Rom Holdings Inc,109.78,$7.33B,,Health Care,Medical/Dental Instruments
121,ALL,Allstate Corporation (The),109.62,$35.51B,,Finance,Property-Casualty Insurers
33,ADS,Alliance Data Systems Corporation,109,$5.02B,2001,Miscellaneous,Business Services
1364,HLT,Hilton Worldwide Holdings Inc.,108.48,$30.61B,2016,Consumer Services,Hotels/Resorts
228,ATO,Atmos Energy Corporation,108.43,$12.94B,,Public Utilities,Oil/Gas Transmission
2695,SWP,"Stanley Black & Decker, Inc.",108.33,,,Capital Goods,Industrial Machinery/Components
2696,SWT,"Stanley Black & Decker, Inc.",108.25,,2019,Capital Goods,Industrial Machinery/Components
633,CMS^B,CMS Energy Corporation,108.01,,,Public Utilities,Power Generation
171,APH,Amphenol Corporation,107.79,$31.96B,,Capital Goods,Electrical Products
963,ENR^A,"Energizer Holdings, Inc.",106.856,,,,
1438,IDA,"IDACORP, Inc.",106.63,$5.37B,,Public Utilities,Electric Utilities: Central
710,CTA^B,E.I. du Pont de Nemours and Company,106.3947,,,,
2275,POST,"Post Holdings, Inc.",106.26,$7.51B,2012,Consumer Non-Durables,Packaged Foods
803,DGX,Quest Diagnostics Incorporated,106.18,$14.3B,,Health Care,Medical Specialities
1222,GL,Globe Life Inc.,106.14,$11.49B,,Finance,Life Insurance
785,DCUE,"Dominion Energy, Inc.",105.87,,2019,Public Utilities,Electric Utilities: Central
687,CPT,Camden Property Trust,105.63,$10.23B,1993,Consumer Services,Real Estate Investment Trusts
1313,GWRE,"Guidewire Software, Inc.",105.54,$8.72B,2012,Technology,Computer Software: Prepackaged Software
1262,GPC,Genuine Parts Company,105.35,$15.31B,,Capital Goods,Automotive Aftermarket
694,CRI,"Carter&#39;s, Inc.",105.27,$4.65B,2003,Consumer Non-Durables,Apparel
385,BLD,TopBuild Corp.,105.23,$3.53B,2015,Basic Industries,Engineering & Construction
1598,KEYS,Keysight Technologies Inc.,105.17,$19.72B,2014,Capital Goods,Industrial Machinery/Components
1582,KAI,Kadant Inc,104.95,$1.18B,,Technology,Industrial Machinery/Components
676,CPA,"Copa Holdings, S.A.",104.93,$4.44B,2005,Transportation,Air Freight/Delivery Services
2339,PVH,PVH Corp.,104.5,$7.62B,,Consumer Non-Durables,Apparel
1706,LSI,"Life Storage, Inc.",103.84,$4.84B,,Consumer Services,Real Estate Investment Trusts
1227,GLOB,Globant S.A.,103.59,$3.79B,2014,Technology,EDP Services
2582,SMG,Scotts Miracle-Gro Company (The),103.53,$5.78B,1992,Basic Industries,Agricultural Chemicals
1263,GPI,"Group 1 Automotive, Inc.",103.43,$1.93B,1997,Consumer Durables,Automotive Aftermarket
660,COF,Capital One Financial Corporation,103.33,$48.12B,1994,Finance,Major Banks
1041,EXR,Extra Space Storage Inc,103.24,$13.37B,2004,Consumer Services,Real Estate Investment Trusts
1658,LCII,LCI Industries ,102.86,$2.57B,,Capital Goods,Auto Parts:O.E.M.
2566,SJM,J.M. Smucker Company (The),102.64,$11.71B,,Consumer Non-Durables,Packaged Foods
561,CHH,"Choice Hotels International, Inc.",102.41,$5.71B,,Consumer Services,Hotels/Resorts
1253,GNRC,Generac Holdlings Inc.,101.19,$6.33B,2010,Consumer Durables,Metal Fabrications
2005,NMK^C,"Niagara Mohawk Holdings, Inc.",101.02,,,Public Utilities,Natural Gas Distribution
3104,YUM,"Yum! Brands, Inc.",100.89,$30.52B,,Consumer Services,Restaurants
2295,PRLB,"Proto Labs, Inc.",100.7,$2.69B,2012,Capital Goods,Metal Fabrications
2004,NMK^B,"Niagara Mohawk Holdings, Inc.",100.43,,,Public Utilities,Natural Gas Distribution
2234,PII,Polaris Inc.,99.86,$6.11B,,Capital Goods,Industrial Specialties
1099,FMC,FMC Corporation,99.52,$12.9B,,Basic Industries,Major Chemicals
138,AME,"AMTEK, Inc.",99.26,$22.69B,,Consumer Durables,Metal Fabrications
266,AYX,"Alteryx, Inc.",99.11,$6.45B,2017,Technology,Computer Software: Prepackaged Software
2856,TWLO,Twilio Inc.,98.85,$13.56B,2016,Technology,Computer Software: Prepackaged Software
1986,NKE,"Nike, Inc.",98.81,$154.25B,,Consumer Non-Durables,Shoe Manufacturing
3077,WTS,"Watts Water Technologies, Inc.",98.57,$3.34B,1986,Capital Goods,Metal Fabrications
1617,KMX,CarMax Inc,98,$16.11B,,Consumer Durables,Automotive Aftermarket
1110,FNV,Franco-Nevada Corporation,97.88,$18.46B,,Basic Industries,Precious Metals
